FileName,Sentence,Clean sentence,Lemmatized
doc1.txt,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",i problems people faced simply local nature decision close steel mill distant executives lack textbooks computers schools traced skewed priorities politicians thousand miles away child turns violence hole heart government fill,i problem people face simply local nature decision close steel mill distant executive lack textbook computer school trace skewed priority politician thousand mile away child turn violence hole heart government fill
doc1.txt,"It was in these neighborhoods that I received the best education I ever had, and where I learned the true meaning of my Christian faith.",neighborhoods i received best education i i learned true meaning christian faith,neighborhood i receive good education i i learn true meaning christian faith
doc1.txt,"After three years of this work, I went to law school, because I wanted to understand how the law should work for those in need.",years work i law school i wanted understand law work need,year work i law school i want understand law work need
doc1.txt,"I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate.",i civil rights lawyer taught constitutional law time i came understand cherished rights liberty equality depend active participation awakened electorate,i civil right lawyer teach constitutional law time i come understand cherished right liberty equality depend active participation awakened electorate
doc1.txt,It was with these ideas in mind that I arrived in this capital city as a state Senator.,ideas mind i arrived capital city state senator,idea mind i arrive capital city state senator
doc1.txt,"It was here, in Springfield, where I saw all that is America converge - farmers and teachers, businessmen and laborers, all of them with a story to tell, all of them seeking a seat at the table, all of them clamoring to be heard.",springfield i america converge farmers teachers businessmen laborers story tell seeking seat table clamoring heard,springfield i america converge farmer teacher businessman laborer story tell seek seat table clamor hear
doc1.txt,I made lasting friendships here - friends that I see in the audience today.,i lasting friendships friends i audience today,i lasting friendship friend i audience today
doc1.txt,"It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst.",learned disagree disagreeable possible compromise long know principles compromised long willing listen assume best people instead worst,learn disagree disagreeable possible compromise long know principle compromise long willing listen assume good people instead bad
doc1.txt,That's why we were able to reform a death penalty system that was broken.,able reform death penalty system broken,able reform death penalty system break
doc1.txt,That's why we were able to give health insurance to children in need.,able health insurance children need,able health insurance child need
doc1.txt,"That's why we made the tax system more fair and just for working families, and that's why we passed ethics reforms that the cynics said could never, ever be passed.",tax system fair working families passed ethics reforms cynics passed,tax system fair work family pass ethic reform cynic pass
doc1.txt,"It was here, in Springfield, where North, South, East and West come together that I was reminded of the essential decency of the American people - where I came to believe that through this decency, we can build a more hopeful America.",springfield north south east west come i reminded essential decency american people i came believe decency build hopeful america,springfield north south east west come i remind essential decency american people i come believe decency build hopeful america
doc1.txt,"And that is why, in the shadow of the Old State Capitol, where Lincoln once called on a divided house to stand together, where common hopes and common dreams still, I stand before you today to announce my candidacy for President of the United States.",shadow old state capitol lincoln divided house stand common hopes common dreams i stand today announce candidacy president united states,shadow old state capitol lincoln divide house stand common hope common dream i stand today announce candidacy president united states
doc1.txt,I recognize there is a certain presumptuousness - a certain audacity - to this announcement.,i recognize certain presumptuousness certain audacity announcement,i recognize certain presumptuousness certain audacity announcement
doc1.txt,I know I haven't spent a lot of time learning the ways of Washington.,i know i spent lot time learning ways washington,i know i spend lot time learn way washington
doc1.txt,But I've been there long enough to know that the ways of Washington must change.,i long know ways washington change,i long know way washington change
doc1.txt,The genius of our founders is that they designed a system of government that can be changed.,genius founders designed system government changed,genius founder design system government change
doc1.txt,"And we should take heart, because we've changed this country before.",heart changed country,heart change country
doc1.txt,"In the face of tyranny, a band of patriots brought an Empire to its knees.",face tyranny band patriots brought empire knees,face tyranny band patriot bring empire knee
doc1.txt,"In the face of secession, we unified a nation and set the captives free.",face secession unified nation set captives free,face secession unify nation set captive free
doc1.txt,"In the face of Depression, we put people back to work and lifted millions out of poverty.",face depression people work lifted millions poverty,face depression people work lift million poverty
doc1.txt,"We welcomed immigrants to our shores, we opened railroads to the west, we landed a man on the moon, and we heard a King's call to let justice roll down like water, and righteousness like a mighty stream.",welcomed immigrants shores opened railroads west landed man moon heard king let justice roll like water righteousness like mighty stream,welcome immigrant shore open railroad west land man moon hear king let justice roll like water righteousness like mighty stream
doc1.txt,"Each and every time, a new generation has risen up and done what's needed to be done.",time new generation risen needed,time new generation rise need
doc1.txt,Today we are called once more - and it is time for our generation to answer that call.,today time generation answer,today time generation answer
doc1.txt,"For that is our unyielding faith - that in the face of impossible odds, people who love their country can change it.",unyielding faith face impossible odds people love country change,unyielde faith face impossible odd people love country change
doc1.txt,That's what Abraham Lincoln understood.,abraham lincoln understood,abraham lincoln understand
doc1.txt,He had his doubts.,doubts,doubt
doc1.txt,He had his defeats.,defeats,defeat
doc1.txt,He had his setbacks.,setbacks,setback
doc1.txt,"But through his will and his words, he moved a nation and helped free a people.",words nation helped free people,word nation help free people
doc1.txt,"It is because of the millions who rallied to his cause that we are no longer divided, North and South, slave and free.",millions rallied cause longer divided north south slave free,million rally cause long divide north south slave free
doc1.txt,"It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans.",men women race walk life continued march freedom long lincoln laid rest today chance face challenges millennium people americans,man woman race walk life continue march freedom long lincoln lay rest today chance face challenge millennium people americans
doc1.txt,"All of us know what those challenges are today - a war with no end, a dependence on oil that threatens our future, schools where too many children aren't learning, and families struggling paycheck to paycheck despite working as hard as they can.",know challenges today war end dependence oil threatens future schools children learning families struggling paycheck paycheck despite working hard,know challenge today war end dependence oil threaten future school child learn family struggle paycheck paycheck despite work hard
doc1.txt,We know the challenges.,know challenges,know challenge
doc1.txt,We've heard them.,heard,hear
doc1.txt,We've talked about them for years.,talked years,talk year
doc1.txt,What's stopped us from meeting these challenges is not the absence of sound policies and sensible plans.,stopped meeting challenges absence sound policies sensible plans,stop meet challenge absence sound policy sensible plan
doc1.txt,"What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.",stopped failure leadership smallness politics ease distracted petty trivial chronic avoidance tough decisions preference scoring cheap political points instead rolling sleeves building working consensus tackle big problems,stop failure leadership smallness politic ease distract petty trivial chronic avoidance tough decision preference score cheap political point instead roll sleeve build work consensus tackle big problem
doc1.txt,"For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight.",years told mounting debts matter told anxiety americans feel rising health care costs stagnant wages illusion told climate change hoax tough talk ill conceived war replace diplomacy strategy foresight,year tell mount debt matter tell anxiety americans feel rise health care cost stagnant wage illusion tell climate change hoax tough talk ill conceive war replace diplomacy strategy foresight
doc1.txt,"And when all else fails, when Katrina happens, or the death toll in Iraq mounts, we've been told that our crises are somebody else's fault.",fails katrina happens death toll iraq mounts told crises somebody fault,fail katrina happen death toll iraq mount tell crisis somebody fault
doc1.txt,"We're distracted from our real failures, and told to blame the other party, or gay people, or immigrants.",distracted real failures told blame party gay people immigrants,distract real failure tell blame party gay people immigrant
doc1.txt,"And as people have looked away in disillusionment and frustration, we know what's filled the void.",people looked away disillusionment frustration know filled void,people look away disillusionment frustration know fill void
doc1.txt,"The cynics, and the lobbyists, and the special interests who've turned our government into a game only they can afford to play.",cynics lobbyists special interests turned government game afford play,cynic lobbyist special interest turn government game afford play
doc1.txt,"They write the checks and you get stuck with the bills, they get the access while you get to write a letter, they think they own this government, but we're here today to take it back.",write checks stuck bills access write letter think government today,write check stick bill access write letter think government today
doc1.txt,The time for that politics is over.,time politics,time politic
doc1.txt,It's time to turn the page.,time turn page,time turn page
doc1.txt,We've made some progress already.,progress,progress
doc1.txt,I was proud to help lead the fight in Congress that led to the most sweeping ethics reform since Watergate.,i proud help lead fight congress led sweeping ethics reform watergate,i proud help lead fight congress lead sweeping ethic reform watergate
doc1.txt,But Washington has a long way to go.,washington long way,washington long way
doc1.txt,And it won't be easy.,wo easy,wo easy
doc1.txt,That's why we'll have to set priorities.,set priorities,set priority
doc1.txt,We'll have to make hard choices.,hard choices,hard choice
doc1.txt,"And although government will play a crucial role in bringing about the changes we need, more money and programs alone will not get us where we need to go.",government play crucial role bringing changes need money programs need,government play crucial role bring change need money program need
doc1.txt,"Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice.",lives accept responsibility instilling ethic achievement children adapting competitive economy strengthening communities sharing measure sacrifice,life accept responsibility instill ethic achievement child adapt competitive economy strengthen community share measure sacrifice
doc1.txt,So let us begin.,let begin,let begin
doc1.txt,Let us begin this hard work together.,let begin hard work,let begin hard work
doc1.txt,Let us transform this nation.,let transform nation,let transform nation
doc1.txt,Let us be the generation that reshapes our economy to compete in the digital age.,let generation reshapes economy compete digital age,let generation reshape economy compete digital age
doc1.txt,Let's set high standards for our schools and give them the resources they need to succeed.,let set high standards schools resources need succeed,let set high standard school resource need succeed
doc1.txt,"Let's recruit a new army of teachers, and give them better pay and more support in exchange for more accountability.",let recruit new army teachers pay support exchange accountability,let recruit new army teacher pay support exchange accountability
doc1.txt,"Let's make college more affordable, and let's invest in scientific research, and let's lay down broadband lines through the heart of inner cities and rural towns all across America.",let college affordable let invest scientific research let lay broadband lines heart inner cities rural towns america,let college affordable let invest scientific research let lay broadband line heart inner city rural town america
doc1.txt,"And as our economy changes, let's be the generation that ensures our nation's workers are sharing in our prosperity.",economy changes let generation ensures nation workers sharing prosperity,economy change let generation ensure nation worker share prosperity
doc1.txt,Let's protect the hard-earned benefits their companies have promised.,let protect hard earned benefits companies promised,let protect hard earn benefit company promise
doc1.txt,Let's make it possible for hardworking Americans to save for retirement.,let possible hardworking americans save retirement,let possible hardworke americans save retirement
doc1.txt,And let's allow our unions and their organizers to lift up this country's middle-class again.,let allow unions organizers lift country middle class,let allow union organizer lift country middle class
doc1.txt,Let's be the generation that ends poverty in America.,let generation ends poverty america,let generation end poverty america
doc1.txt,"Every single person willing to work should be able to get job training that leads to a job, and earn a living wage that can pay the bills, and afford child care so their kids have a safe place to go when they work.",single person willing work able job training leads job earn living wage pay bills afford child care kids safe place work,single person willing work able job training lead job earn live wage pay bill afford child care kid safe place work
doc1.txt,Let's do this.,let,let
doc1.txt,Let's be the generation that finally tackles our health care crisis.,let generation finally tackles health care crisis,let generation finally tackle health care crisis
doc1.txt,"We can control costs by focusing on prevention, by providing better treatment to the chronically ill, and using technology to cut the bureaucracy.",control costs focusing prevention providing treatment chronically ill using technology cut bureaucracy,control cost focus prevention provide treatment chronically ill use technology cut bureaucracy
doc1.txt,"Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term.",let generation right right universal health care america end president term,let generation right right universal health care america end president term
doc1.txt,Let's be the generation that finally frees America from the tyranny of oil.,let generation finally frees america tyranny oil,let generation finally free america tyranny oil
doc1.txt,"We can harness homegrown, alternative fuels like ethanol and spur the production of more fuel-efficient cars.",harness homegrown alternative fuels like ethanol spur production fuel efficient cars,harness homegrown alternative fuel like ethanol spur production fuel efficient car
doc1.txt,We can set up a system for capping greenhouse gases.,set system capping greenhouse gases,set system cap greenhouse gas
doc1.txt,"We can turn this crisis of global warming into a moment of opportunity for innovation, and job creation, and an incentive for businesses that will serve as a model for the world.",turn crisis global warming moment opportunity innovation job creation incentive businesses serve model world,turn crisis global warming moment opportunity innovation job creation incentive business serve model world
doc1.txt,Let's be the generation that makes future generations proud of what we did here.,let generation future generations proud,let generation future generation proud
doc1.txt,"Most of all, let's be the generation that never forgets what happened on that September day and confront the terrorists with everything we've got.",most let generation forgets happened september day confront terrorists,most let generation forget happen september day confront terrorist
doc1.txt,Politics doesn't have to divide us on this anymore - we can work together to keep our country safe.,politics divide anymore work country safe,politic divide anymore work country safe
doc1.txt,"I've worked with Republican Senator Dick Lugar to pass a law that will secure and destroy some of the world's deadliest, unguarded weapons.",i worked republican senator dick lugar pass law secure destroy world deadliest unguarded weapons,i work republican senator dick lugar pass law secure destroy world deadly unguarded weapon
doc1.txt,"We can work together to track terrorists down with a stronger military, we can tighten the net around their finances, and we can improve our intelligence capabilities.",work track terrorists stronger military tighten net finances improve intelligence capabilities,work track terrorist strong military tighten net finance improve intelligence capability
doc1.txt,But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe.,let understand ultimate victory enemies come rebuilding alliances exporting ideals bring hope opportunity millions globe,let understand ultimate victory enemy come rebuild alliance export ideal bring hope opportunity million globe
doc1.txt,But all of this cannot come to pass until we bring an end to this war in Iraq.,come pass bring end war iraq,come pass bring end war iraq
doc1.txt,Most of you know I opposed this war from the start.,most know i opposed war start,most know i oppose war start
doc1.txt,I thought it was a tragic mistake.,i thought tragic mistake,i think tragic mistake
doc1.txt,"Today we grieve for the families who have lost loved ones, the hearts that have been broken, and the young lives that could have been.",today grieve families lost loved hearts broken young lives,today grieve family lose love heart break young life
doc1.txt,"America, it's time to start bringing our troops home.",america time start bringing troops home,america time start bring troop home
doc1.txt,It's time to admit that no amount of American lives can resolve the political disagreement that lies at the heart of someone else's civil war.,time admit american lives resolve political disagreement lies heart civil war,time admit american life resolve political disagreement lie heart civil war
doc1.txt,That's why I have a plan that will bring our combat troops home by March of 2008.,i plan bring combat troops home march 2008,i plan bring combat troop home march 2008
doc1.txt,"Letting the Iraqis know that we will not be there forever is our last, best hope to pressure the Sunni and Shia to come to the table and find peace.",letting iraqis know forever best hope pressure sunni shia come table find peace,let iraqis know forever good hope pressure sunni shia come table find peace
doc1.txt,"Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most.",finally thing late right war homecoming men women veterans sacrificed,finally thing late right war homecoming man woman veteran sacrifice
doc1.txt,Let us honor their valor by providing the care they need and rebuilding the military they love.,let honor valor providing care need rebuilding military love,let honor valor provide care need rebuild military love
doc1.txt,Let us be the generation that begins this work.,let generation begins work,let generation begin work
doc1.txt,I know there are those who don't believe we can do all these things.,i know believe things,i know believe thing
doc1.txt,I understand the skepticism.,i understand skepticism,i understand skepticism
doc1.txt,"After all, every four years, candidates from both parties make similar promises, and I expect this year will be no different.",years candidates parties similar promises i expect year different,year candidate party similar promise i expect year different
doc1.txt,All of us running for president will travel around the country offering ten-point plans and making grand speeches; all of us will trumpet those qualities we believe make us uniquely qualified to lead the country.,running president travel country offering point plans grand speeches trumpet qualities believe uniquely qualified lead country,run president travel country offer point plan grand speech trumpet quality believe uniquely qualified lead country
doc1.txt,"But too many times, after the election is over, and the confetti is swept away, all those promises fade from memory, and the lobbyists and the special interests move in, and people turn away, disappointed as before, left to struggle on their own.",times election confetti swept away promises fade memory lobbyists special interests people turn away disappointed left struggle,time election confetti sweep away promise fade memory lobbyist special interest people turn away disappoint leave struggle
doc1.txt,That is why this campaign can't only be about me.,campaign me,campaign i
doc1.txt,It must be about us - it must be about what we can do together.,,
doc1.txt,"This campaign must be the occasion, the vehicle, of your hopes, and your dreams.",campaign occasion vehicle hopes dreams,campaign occasion vehicle hope dream
doc1.txt,"It will take your time, your energy, and your advice - to push us forward when we're doing right, and to let us know when we're not.",time energy advice push forward right let know,time energy advice push forward right let know
doc1.txt,"This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change.",campaign reclaiming meaning citizenship restoring sense common purpose realizing obstacles withstand power millions voices change,campaign reclaim meaning citizenship restore sense common purpose realize obstacle withstand power million voice change
doc1.txt,"By ourselves, this change will not happen.",change happen,change happen
doc1.txt,"Divided, we are bound to fail.",divided bound fail,divide bind fail
doc1.txt,"But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible.",life tall gangly self springfield lawyer tells different future possible,life tall gangly self springfield lawyer tell different future possible
doc1.txt,He tells us that there is power in words.,tells power words,tell power word
doc1.txt,He tells us that there is power in conviction.,tells power conviction,tell power conviction
doc1.txt,"That beneath all the differences of race and region, faith and station, we are one people.",beneath differences race region faith station people,beneath difference race region faith station people
doc1.txt,He tells us that there is power in hope.,tells power hope,tell power hope
doc1.txt,"As Lincoln organized the forces arrayed against slavery, he was heard to say: ""Of strange, discordant, and even hostile elements, we gathered from the four winds, and formed and fought to battle through.""",lincoln organized forces arrayed slavery heard strange discordant hostile elements gathered winds formed fought battle,lincoln organize force array slavery hear strange discordant hostile element gather wind form fight battle
doc1.txt,That is our purpose here today.,purpose today,purpose today
doc1.txt,That's why I'm in this race.,i race,i race
doc1.txt,"Not just to hold an office, but to gather with you to transform a nation.",hold office gather transform nation,hold office gather transform nation
doc1.txt,I want to win that next battle - for justice and opportunity.,i want win battle justice opportunity,i want win battle justice opportunity
doc1.txt,"I want to win that next battle - for better schools, and better jobs, and health care for all.",i want win battle schools jobs health care,i want win battle school job health care
doc1.txt,"I want us to take up the unfinished business of perfecting our union, and building a better America.",i want unfinished business perfecting union building america,i want unfinished business perfect union build america
doc1.txt,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",join me improbable quest feel destiny i future endless possibility stretching sense i sense time shake slumber slough fear good debt owe past future generations i ready cause march work,join i improbable quest feel destiny i future endless possibility stretch sense i sense time shake slumber slough fear good debt owe past future generation i ready cause march work
doc1.txt,"Together, starting today, let us finish the work that needs to be done, and usher in a new birth of freedom on this Earth.",starting today let finish work needs usher new birth freedom earth,start today let finish work need usher new birth freedom earth
doc2.txt,To Chairman Dean and my great friend Dick Durbin; and to all my fellow citizens of this great nation;,chairman dean great friend dick durbin fellow citizens great nation,chairman dean great friend dick durbin fellow citizen great nation
doc2.txt,"With profound gratitude and great humility, I accept your nomination for the presidency of the United States.",profound gratitude great humility i accept nomination presidency united states,profound gratitude great humility i accept nomination presidency united states
doc2.txt,"Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest - a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton.",let me express thanks historic slate candidates accompanied me journey especially traveled farthest champion working americans inspiration daughters hillary rodham clinton,let i express thank historic slate candidate accompany i journey especially travel farth champion work americans inspiration daughter hillary rodham clinton
doc2.txt,"To President Clinton, who last night made the case for change as only he can make it; to Ted Kennedy, who embodies the spirit of service; and to the next Vice President of the United States, Joe Biden, I thank you.",president clinton night case change ted kennedy embodies spirit service vice president united states joe biden i thank,president clinton night case change ted kennedy embody spirit service vice president united states joe biden i thank
doc2.txt,"I am grateful to finish this journey with one of the finest statesmen of our time, a man at ease with everyone from world leaders to the conductors on the Amtrak train he still takes home every night.",i grateful finish journey finest statesmen time man ease world leaders conductors amtrak train home night,i grateful finish journey fine statesman time man ease world leader conductor amtrak train home night
doc2.txt,"To the love of my life, our next First Lady, Michelle Obama, and to Sasha and Malia - I love you so much, and I'm so proud of all of you.",love life first lady michelle obama sasha malia i love i proud,love life first lady michelle obama sasha malia i love i proud
doc2.txt,"Four years ago, I stood before you and told you my story - of the brief union between a young man from Kenya and a young woman from Kansas who weren't well-off or well-known, but shared a belief that in America, their son could achieve whatever he put his mind to.",years ago i stood told story brief union young man kenya young woman kansas known shared belief america son achieve mind,year ago i stand tell story brief union young man kenya young woman kansas know share belief america son achieve mind
doc2.txt,"It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well.",promise set country apart hard work sacrifice pursue individual dreams come american family ensure generation pursue dreams,promise set country apart hard work sacrifice pursue individual dream come american family ensure generation pursue dream
doc2.txt,That's why I stand here tonight.,i stand tonight,i stand tonight
doc2.txt,"Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women - students and soldiers, farmers and teachers, nurses and janitors -- found the courage to keep it alive.",thirty years moment promise jeopardy ordinary men women students soldiers farmers teachers nurses janitors found courage alive,thirty year moment promise jeopardy ordinary man woman student soldier farmer teacher nurse janitor find courage alive
doc2.txt,"We meet at one of those defining moments - a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more.",meet defining moments moment nation war economy turmoil american promise threatened,meet define moment moment nation war economy turmoil american promise threaten
doc2.txt,"Tonight, more Americans are out of work and more are working harder for less.",tonight americans work working harder,tonight americans work work hard
doc2.txt,More of you have lost your homes and even more are watching your home values plummet.,more lost homes watching home values plummet,more lose home watch home value plummet
doc2.txt,"More of you have cars you can't afford to drive, credit card bills you can't afford to pay, and tuition that's beyond your reach.",more cars afford drive credit card bills afford pay tuition reach,more car afford drive credit card bill afford pay tuition reach
doc2.txt,These challenges are not all of government's making.,challenges government making,challenge government making
doc2.txt,But the failure to respond is a direct result of a broken politics in Washington and the failed policies of George W. Bush.,failure respond direct result broken politics washington failed policies george w. bush,failure respond direct result broken politic washington fail policy george w. bush
doc2.txt,"America, we are better than these last eight years.",america years,america year
doc2.txt,We are a better country than this.,country,country
doc2.txt,"This country is more decent than one where a woman in Ohio, on the brink of retirement, finds herself one illness away from disaster after a lifetime of hard work.",country decent woman ohio brink retirement finds illness away disaster lifetime hard work,country decent woman ohio brink retirement find illness away disaster lifetime hard work
doc2.txt,"This country is more generous than one where a man in Indiana has to pack up the equipment he's worked on for twenty years and watch it shipped off to China, and then chokes up as he explains how he felt like a failure when he went home to tell his family the news.",country generous man indiana pack equipment worked years watch shipped china chokes explains felt like failure home tell family news,country generous man indiana pack equipment work year watch ship china choke explain feel like failure home tell family news
doc2.txt,We are more compassionate than a government that lets veterans sleep on our streets and families slide into poverty; that sits on its hands while a major American city drowns before our eyes.,compassionate government lets veterans sleep streets families slide poverty sits hands major american city drowns eyes,compassionate government let veteran sleep street family slide poverty sit hand major american city drown eye
doc2.txt,"Tonight, I say to the American people, to Democrats and Republicans and Independents across this great land - enough!",tonight i american people democrats republicans independents great land,tonight i american people democrats republicans independents great land
doc2.txt,"This moment - this election - is our chance to keep, in the 21st century, the American promise alive.",moment election chance 21st century american promise alive,moment election chance 21st century american promise alive
doc2.txt,"Because next week, in Minnesota, the same party that brought you two terms of George Bush and Dick Cheney will ask this country for a third.",week minnesota party brought terms george bush dick cheney ask country,week minnesota party bring term george bush dick cheney ask country
doc2.txt,And we are here because we love this country too much to let the next four years look like the last eight.,love country let years look like,love country let year look like
doc2.txt,"On November 4th, we must stand up and say: ""Eight is enough.""",november 4th stand,november 4th stand
doc2.txt,Now let there be no doubt.,let doubt,let doubt
doc2.txt,"The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect.",republican nominee john mccain worn uniform country bravery distinction owe gratitude respect,republican nominee john mccain wear uniform country bravery distinction owe gratitude respect
doc2.txt,"And next week, we'll also hear about those occasions when he's broken with his party as evidence that he can deliver the change that we need.",week hear occasions broken party evidence deliver change need,week hear occasion break party evidence deliver change need
doc2.txt,But the record's clear: John McCain has voted with George Bush ninety percent of the time.,record clear john mccain voted george bush ninety percent time,record clear john mccain vote george bush ninety percent time
doc2.txt,"Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time?",senator mccain likes talk judgment judgment think george bush right ninety percent time,senator mccain like talk judgment judgment think george bush right ninety percent time
doc2.txt,"I don't know about you, but I'm not ready to take a ten percent chance on change.",i know i ready percent chance change,i know i ready percent chance change
doc2.txt,"The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent.",truth issue issue difference lives health care education economy senator mccain independent,truth issue issue difference life health care education economy senator mccain independent
doc2.txt,"He said that our economy has made ""great progress"" under this President.",economy great progress president,economy great progress president
doc2.txt,He said that the fundamentals of the economy are strong.,fundamentals economy strong,fundamental economy strong
doc2.txt,"And when one of his chief advisors - the man who wrote his economic plan - was talking about the anxiety Americans are feeling, he said that we were just suffering from a ""mental recession,"" and that we've become, and I quote, ""a nation of whiners.""",chief advisors man wrote economic plan talking anxiety americans feeling suffering mental recession i quote nation whiners,chief advisor man write economic plan talk anxiety americans feel suffer mental recession i quote nation whiner
doc2.txt,A nation of whiners?,nation whiners,nation whiner
doc2.txt,"Tell that to the proud auto workers at a Michigan plant who, after they found out it was closing, kept showing up every day and working as hard as ever, because they knew there were people who counted on the brakes that they made.",tell proud auto workers michigan plant found closing day working hard knew people counted brakes,tell proud auto worker michigan plant find close day work hard know people count brake
doc2.txt,Tell that to the military families who shoulder their burdens silently as they watch their loved ones leave for their third or fourth or fifth tour of duty.,tell military families shoulder burdens silently watch loved leave fourth fifth tour duty,tell military family shoulder burden silently watch love leave fourth fifth tour duty
doc2.txt,These are not whiners.,whiners,whiner
doc2.txt,They work hard and give back and keep going without complaint.,work hard complaint,work hard complaint
doc2.txt,These are the Americans that I know.,americans i know,americans i know
doc2.txt,"Now, I don't believe that Senator McCain doesn't care what's going on in the lives of Americans.",i believe senator mccain care lives americans,i believe senator mccain care life americans
doc2.txt,I just think he doesn't know.,i think know,i think know
doc2.txt,Why else would he define middle-class as someone making under five million dollars a year?,define middle class million dollars year,define middle class million dollar year
doc2.txt,How else could he propose hundreds of billions in tax breaks for big corporations and oil companies but not one penny of tax relief to more than one hundred million Americans?,propose billions tax breaks big corporations oil companies penny tax relief million americans,propose billion tax break big corporation oil company penny tax relief million americans
doc2.txt,"How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?",offer health care plan actually tax people benefits education plan help families pay college plan privatize social security gamble retirement,offer health care plan actually tax people benefit education plan help family pay college plan privatize social security gamble retirement
doc2.txt,It's not because John McCain doesn't care.,john mccain care,john mccain care
doc2.txt,It's because John McCain doesn't get it.,john mccain,john mccain
